hallmark	repair_score	ctrl_score	score_diff	wilcox_stat	pvalue
HALLMARK_ADIPOGENESIS	-0.11230815978947369	0.013758611631578948	-0.12606677142105263	664	0.07035947644465698
HALLMARK_ALLOGRAFT_REJECTION	-0.15115412578947368	-0.07691640789473685	-0.07423771789473683	743	0.2266907349983606
HALLMARK_ANDROGEN_RESPONSE	-0.1261122049473684	0.02547295704210526	-0.15158516198947367	578	0.013759759833999007
HALLMARK_ANGIOGENESIS	-0.20468983105263158	-0.013747623705263157	-0.19094220734736841	583	0.015289079051600037
HALLMARK_APICAL_JUNCTION	-0.12361263810526316	-0.0023742078736842124	-0.12123843023157894	619	0.03141793858483938
HALLMARK_APICAL_SURFACE	-0.13275173442105265	-0.08639545332631579	-0.046356281094736856	764	0.2940595052668376
HALLMARK_APOPTOSIS	-0.11749034705263159	-0.00540856252631579	-0.1120817845263158	707	0.13816827013996727
HALLMARK_BILE_ACID_METABOLISM	-0.12465768957894736	-0.06261583054736843	-0.06204185903157894	750	0.24780217389139858
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.13985045210526315	0.047644086389473685	-0.18749453849473682	545	0.006639911337389327
HALLMARK_COAGULATION	-0.1634602873157895	-0.017607672905263157	-0.14585261441052633	630	0.03863041067938607
HALLMARK_COMPLEMENT	-0.12213537631578948	-0.03011711170526316	-0.09201826461052633	722	0.1711252614505502
HALLMARK_DNA_REPAIR	0.05088648910526316	0.10709491078947368	-0.05620842168421052	808	0.4747871439088246
HALLMARK_E2F_TARGETS	0.20610991021052633	0.24047347889473683	-0.034363568684210505	922	0.8851348529349159
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.21682738068421054	-0.002902825894736846	-0.2139245547894737	584	0.015612304545533426
HALLMARK_ESTROGEN_RESPONSE_EARLY	-0.1587390447368421	-0.03875321752631579	-0.11998582721052632	592	0.018421843796302784
HALLMARK_ESTROGEN_RESPONSE_LATE	-0.15680428289473683	-0.04939981372631579	-0.10740446916842103	635	0.04234783402188834
HALLMARK_FATTY_ACID_METABOLISM	-0.06850708778947369	0.02009241452631579	-0.08859950231578947	722	0.1711252614505502
HALLMARK_G2M_CHECKPOINT	0.20778115210526316	0.2459402361894737	-0.03815908408421054	931	0.8314105183365957
HALLMARK_GLYCOLYSIS	-0.06591893242105264	0.06087030409473684	-0.1267892365157895	650	0.0553605271323002
HALLMARK_HEDGEHOG_SIGNALING	-0.10499742805263158	-0.03217716093684211	-0.07282026711578948	743	0.2266907349983606
HALLMARK_HEME_METABOLISM	-0.037817489210526314	-0.005502874578947368	-0.03231461463157895	840	0.6373510775096554
HALLMARK_HYPOXIA	-0.11258639642105263	0.022304880357894737	-0.13489127677894736	673	0.08165560637922753
HALLMARK_IL2_STAT5_SIGNALING	-0.12494443957894737	-0.024199832484210527	-0.10074460709473684	706	0.1361584773600432
HALLMARK_IL6_JAK_STAT3_SIGNALING	-0.10441893010526315	-0.03886223372631579	-0.06555669637894737	794	0.41155613975191885
HALLMARK_INFLAMMATORY_RESPONSE	-0.12440877257894738	-0.05517206202105263	-0.06923671055789474	749	0.2447047611129493
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.047190527421052626	0.011717450863157893	-0.058907978284210516	830	0.5840772868176004
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.08647254615789474	-0.019506984821052627	-0.06696556133684212	810	0.48423638480965764
HALLMARK_KRAS_SIGNALING_DN	-0.12274826778947369	-0.09935304935789474	-0.02339521843157895	795	0.4158999702473651
HALLMARK_KRAS_SIGNALING_UP	-0.10897122310526315	-0.04491574576842105	-0.06405547733684211	756	0.2669627073674185
HALLMARK_MITOTIC_SPINDLE	0.14855063442105262	0.15292819774736843	-0.004377563326315809	937	0.7960111876118925
HALLMARK_MTORC1_SIGNALING	-0.009442416631578954	0.12373204158947368	-0.13317445822105264	701	0.12644632812835654
HALLMARK_MYC_TARGETS_V1	0.1364518357368421	0.17817887844210525	-0.041727042705263145	836	0.6157948999269522
HALLMARK_MYC_TARGETS_V2	0.1712520087894737	0.18256473614736843	-0.011312727357894736	867	0.7901497987860128
HALLMARK_MYOGENESIS	-0.19179103042105264	-0.06293837935789473	-0.1288526510631579	610	0.02640732664059088
HALLMARK_NOTCH_SIGNALING	0.03750675947368421	0.13165382861052632	-0.09414706913684212	679	0.08997308588099165
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.08269336710526315	0.07888878102105262	-0.16158214812631577	692	0.11033335887512889
HALLMARK_P53_PATHWAY	-0.147195824	-0.033164377147368425	-0.11403144685263158	670	0.07773710551664197
HALLMARK_PANCREAS_BETA_CELLS	-0.00442748784210526	-0.003515567526315789	-9.119203157894706e-4	923	0.8791346116183074
HALLMARK_PEROXISOME	-0.028560093684210523	0.004810544473684209	-0.03337063815789473	857	0.7322385628703627
HALLMARK_PI3K_AKT_MTOR_SIGNALING	-0.011165060105263159	0.07211985883157895	-0.08328491893684212	738	0.21241803392492073
HALLMARK_PROTEIN_SECRETION	0.03702261878947369	0.10971563573684211	-0.07269301694736842	813	0.49859935225628804
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	-0.09732694468421052	-0.01278416609473684	-0.08454277858947368	765	0.2975719217412908
HALLMARK_SPERMATOGENESIS	0.01909293963157895	0.009161510894736841	0.009931428736842107	968	0.6211539184221442
HALLMARK_TGF_BETA_SIGNALING	-0.055545132157894736	0.03195374155789474	-0.08749887371578947	751	0.2509269240115951
HALLMARK_TNFA_SIGNALING_VIA_NFKB	-0.13191382000000001	0.0025027786842105287	-0.13441659868421055	706	0.1361584773600432
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.028751237894736843	0.13316754588421054	-0.1044163079894737	758	0.2735702403762941
HALLMARK_UV_RESPONSE_DN	-0.10594808678947369	0.010041094210526317	-0.11598918100000001	626	0.035859631940298495
HALLMARK_UV_RESPONSE_UP	-0.05454500378947368	0.02712614847368421	-0.0816711522631579	728	0.18584297198224345
