signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0.11680593238422492	0.10020186595539729	0.016604066428827627	9	1
SBS2	0	0	0	8.5	NA
SBS3	0.28645920618512727	0.28536541307323515	0.0010937931118921163	10	0.8888888888888891
SBS5	0.22575282790393456	0.18037246863454764	0.04538035926938691	11	0.6992791894794372
SBS6	0	0.007141316927799165	-0.007141316927799165	8	1
SBS9	0	0.09321818473305596	-0.09321818473305596	5	0.5107272681597619
SBS10a	0	0	0	8.5	NA
SBS10b	0	0	0	8.5	NA
SBS10c	0	0.007483916486465411	-0.007483916486465411	7.5	0.8599242532382136
SBS10d	0	0	0	8.5	NA
SBS11	0	0	0	8.5	NA
SBS13	0	0	0	8.5	NA
SBS14	0	0	0	8.5	NA
SBS15	0	0	0	8.5	NA
SBS18	0.07712121438335605	0.08513038618676941	-0.008009171803413359	10	0.8401608057713479
SBS20	0	0	0	8.5	NA
SBS21	0	0	0	8.5	NA
SBS25	0	0	0	8.5	NA
SBS26	0	0	0	8.5	NA
SBS30	0	0.01674801375309189	-0.01674801375309189	7	0.7667101359696405
SBS31	0	0.008874888398717798	-0.008874888398717798	8	1
SBS32	0	0.004559432394044456	-0.004559432394044456	8	1
SBS35	0	0.00800572123378222	-0.00800572123378222	7.5	0.8599242532382136
SBS36	0	0	0	8.5	NA
SBS39	0	0	0	8.5	NA
SBS44	0	0.015746771365715513	-0.015746771365715513	7	0.7667101359696405
SBS84	0	0	0	8.5	NA
SBS85	0.16712760213004457	0.05668107086712474	0.11044653126291984	16	0.14946147016947367
SBS86	0	0	0	8.5	NA
SBS87	0	0	0	8.5	NA
SBS90	0	0	0	8.5	NA
