signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	NA	0.10112431409033215	NA	NA	NA
SBS2	NA	0	NA	NA	NA
SBS3	NA	0.28542617935722914	NA	NA	NA
SBS5	NA	0.18289359970506913	NA	NA	NA
SBS6	NA	0.006744577098476987	NA	NA	NA
SBS9	NA	0.08803939669233064	NA	NA	NA
SBS10a	NA	0	NA	NA	NA
SBS10b	NA	0	NA	NA	NA
SBS10c	NA	0.007068143348328442	NA	NA	NA
SBS10d	NA	0	NA	NA	NA
SBS11	NA	0	NA	NA	NA
SBS13	NA	0	NA	NA	NA
SBS14	NA	0	NA	NA	NA
SBS15	NA	0	NA	NA	NA
SBS18	NA	0.0846854321976909	NA	NA	NA
SBS20	NA	0	NA	NA	NA
SBS21	NA	0	NA	NA	NA
SBS25	NA	0	NA	NA	NA
SBS26	NA	0	NA	NA	NA
SBS30	NA	0.015817568544586783	NA	NA	NA
SBS31	NA	0.008381839043233474	NA	NA	NA
SBS32	NA	0.004306130594375321	NA	NA	NA
SBS35	NA	0.007560958943016542	NA	NA	NA
SBS36	NA	0	NA	NA	NA
SBS39	NA	0	NA	NA	NA
SBS44	NA	0.014871950734286876	NA	NA	NA
SBS84	NA	0	NA	NA	NA
SBS85	NA	0.06281698927062028	NA	NA	NA
SBS86	NA	0	NA	NA	NA
SBS87	NA	0	NA	NA	NA
SBS90	NA	0	NA	NA	NA
