signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0	0.020356326049280178	-0.020356326049280178	10.5	0.6663734021972219
SBS2	0	0	0	13.5	NA
SBS3	0.401626590531283	0.2623688923909186	0.13925769814036443	22	0.3213277311192544
SBS5	0.18528231426618105	0.22643130483789498	-0.04114899057171392	11	0.8029638744383367
SBS6	0	0.024279588744120176	-0.024279588744120176	9.5	0.5869195689340561
SBS9	0.1224515460453843	0.12421362119130988	-0.001762075145925579	18	0.6017660985893614
SBS10a	0	0	0	13.5	NA
SBS10b	0	0	0	13.5	NA
SBS10c	0	0.0025431438036152324	-0.0025431438036152324	13	1
SBS10d	0	0	0	13.5	NA
SBS11	0	0	0	13.5	NA
SBS13	0	0.002672839354703004	-0.002672839354703004	13	1
SBS14	0	0	0	13.5	NA
SBS15	0	0.008046176568224548	-0.008046176568224548	12	0.8177021177725294
SBS18	0	0.025984215759837823	-0.025984215759837823	9.5	0.5869195689340561
SBS20	0	0	0	13.5	NA
SBS21	0	0	0	13.5	NA
SBS25	0	0.006902958376133305	-0.006902958376133305	12.5	0.8897821249701708
SBS26	0	0	0	13.5	NA
SBS30	0.11825587016705706	0.011259159280481275	0.10699671088657578	27	0.015970356608351645
SBS31	0	0	0	13.5	NA
SBS32	0	0.002985067185881665	-0.002985067185881665	13	1
SBS35	0	0	0	13.5	NA
SBS36	0	0	0	13.5	NA
SBS39	0	0.03444553047652184	-0.03444553047652184	9.5	0.5869195689340561
SBS44	0	0.005317631705858527	-0.005317631705858527	12.5	0.8897821249701708
SBS84	0	0	0	13.5	NA
SBS85	0	0.10523013541490724	-0.10523013541490724	5	0.3069669487769262
SBS86	0	0	0	13.5	NA
SBS87	0	0.0027980253967529204	-0.0027980253967529204	13	1
SBS90	0	0.0024253628878243643	-0.0024253628878243643	13	1
