signature	repair_exposure	ctrl_exposure	exposure_diff	wilcox_stat	pvalue
SBS1	0	0.020356326049280178	-0.020356326049280178	10.5	0.6663734021972219
SBS2	0	0	0	13.5	NA
SBS3	0.3714402387696356	0.2634869054191277	0.10795333335050789	19	0.5353676091980977
SBS5	0	0.23329361277367944	-0.23329361277367944	3	0.21219013762969116
SBS6	0	0.024279588744120176	-0.024279588744120176	9.5	0.5869195689340561
SBS9	0.27500158561595256	0.11856361972573327	0.1564379658902193	24	0.192009960560527
SBS10a	0	0	0	13.5	NA
SBS10b	0	0	0	13.5	NA
SBS10c	0	0.0025431438036152324	-0.0025431438036152324	13	1
SBS10d	0	0	0	13.5	NA
SBS11	0	0	0	13.5	NA
SBS13	0	0.002672839354703004	-0.002672839354703004	13	1
SBS14	0	0	0	13.5	NA
SBS15	0	0.008046176568224548	-0.008046176568224548	12	0.8177021177725294
SBS18	0	0.025984215759837823	-0.025984215759837823	9.5	0.5869195689340561
SBS20	0	0	0	13.5	NA
SBS21	0	0	0	13.5	NA
SBS25	0.09415133887672256	0.003415871751069507	0.09073546712565304	27	3.1447173607096056e-4
SBS26	0	0	0	13.5	NA
SBS30	0	0.015639006323705604	-0.015639006323705604	11	0.7108561447058716
SBS31	0	0	0	13.5	NA
SBS32	0	0.002985067185881665	-0.002985067185881665	13	1
SBS35	0	0	0	13.5	NA
SBS36	0	0	0	13.5	NA
SBS39	0.0635936556386327	0.03209020989731322	0.03150344574131948	20	0.35165670650427605
SBS44	0	0.005317631705858527	-0.005317631705858527	12.5	0.8897821249701708
SBS84	0	0	0	13.5	NA
SBS85	0	0.10523013541490724	-0.10523013541490724	5	0.3069669487769262
SBS86	0	0	0	13.5	NA
SBS87	0	0.0027980253967529204	-0.0027980253967529204	13	1
SBS90	0	0.0024253628878243643	-0.0024253628878243643	13	1
