signature	nonmmr_exposure	ctrl_exposure	exposure_diff	pvalue
SBS1	0.0932626693154685	0.0958830675160898	-0.0026203982006212934	0.7217342960757422
SBS2	0.0013875109590465748	1.2162818435367117e-4	0.0012658827746929037	0.04226689037891564
SBS3	0.012221936496076434	0.015027639018239655	-0.002805702522163221	0.48774971029370107
SBS4	0.0015744469679289193	0.002078077630666001	-5.036306627370817e-4	0.8092642306425004
SBS5	0.09023815141108765	0.08815080173847786	0.0020873496726097895	0.6670620207606792
SBS6	0.006963479466050242	0.011906506378989748	-0.004943026912939507	0.09223261785756152
SBS7a	4.337015372826294e-4	4.7022217995645004e-4	-3.652064267382064e-5	0.8038542543205583
SBS7b	5.084421304404573e-4	6.901541306163954e-4	-1.8171200017593815e-4	0.8410562117266501
SBS7c	0	9.513527140249915e-5	-9.513527140249915e-5	0.6200222731381344
SBS7d	0	1.3740747949322367e-4	-1.3740747949322367e-4	0.6200222731381344
SBS8	0.050687681758855595	0.043902419591846334	0.006785262167009261	0.6438396400403537
SBS9	0	0.006843709726866868	-0.006843709726866868	3.752935266224977e-4
SBS10a	0	0	0	NA
SBS10b	0	3.2473835615999866e-4	-3.2473835615999866e-4	0.3879478315319108
SBS10c	0	7.170223130891163e-4	-7.170223130891163e-4	0.22078961961383645
SBS10d	0	9.419489695021515e-5	-9.419489695021515e-5	0.6200222731381344
SBS11	4.2566198679430163e-4	0.0012707608775487894	-8.450988907544878e-4	0.8038542543205583
SBS12	0.0016000817837192765	7.351816282880294e-4	8.649001554312471e-4	0.30632203936244323
SBS13	0.0018267349041803578	0.0011505650770575234	6.761698271228343e-4	0.7726221507356845
SBS14	5.277914817238228e-4	4.163235604916534e-4	1.1146792123216946e-4	0.28867223138971654
SBS15	0.006408894254556997	0.010433487216252335	-0.004024592961695338	0.5034789964960154
SBS16	0.006137674705622562	0.005066900992646015	0.0010707737129765473	0.8806126625568947
SBS17a	0	2.3680373654589584e-4	-2.3680373654589584e-4	0.4815746239772708
SBS17b	0.002834058104060619	0.002664662355770823	1.6939574828979615e-4	0.6960208129328669
SBS18	0.013453800350400813	0.017268609798242986	-0.0038148094478421737	0.5671484588082767
SBS19	0.001159457296700936	0.0022446013023052817	-0.0010851440056043457	0.5937229045914507
