signature	repair_exposure	ctrl_exposure	exposure_diff	pvalue
SBS1	0.09261886962525946	0.0958830675160898	-0.0032641978908303365	0.5340518449773275
SBS2	0.0016992521734191222	1.2162818435367117e-4	0.001577623989065451	0.00873598022431273
SBS3	0.011548379405649777	0.015027639018239655	-0.0034792596125898783	0.4335859027779401
SBS4	0.0014425100711750992	0.002078077630666001	-6.355675594909018e-4	0.7034092476907492
SBS5	0.08475615886586772	0.08815080173847786	-0.00339464287261014	0.8519739814604206
SBS6	0.009245890711914099	0.011906506378989748	-0.0026606156670756498	0.3537105083257288
SBS7a	3.9735783304106824e-4	4.7022217995645004e-4	-7.28643469153818e-5	0.8633651218969812
SBS7b	4.658352480013128e-4	6.901541306163954e-4	-2.2431888261508263e-4	0.7784331857603767
SBS7c	0	9.513527140249915e-5	-9.513527140249915e-5	0.6042743058240627
SBS7d	0	1.3740747949322367e-4	-1.3740747949322367e-4	0.6042743058240627
SBS8	0.05036157512669341	0.043902419591846334	0.0064591555348470775	0.8039703514642554
SBS9	0	0.006843709726866868	-0.006843709726866868	2.0394322236455995e-4
SBS10a	3.9866028875948606e-4	0	3.9866028875948606e-4	0.05538690563723888
SBS10b	0	3.2473835615999866e-4	-3.2473835615999866e-4	0.3670049399906713
SBS10c	3.739011837442715e-4	7.170223130891163e-4	-3.431211293448448e-4	0.644330481990963
SBS10d	0	9.419489695021515e-5	-9.419489695021515e-5	0.6042743058240627
SBS11	9.662977246875475e-4	0.0012707608775487894	-3.0446315286124194e-4	0.31113169855821954
SBS12	0.0014659967180444768	7.351816282880294e-4	7.308150897564474e-4	0.37275840803834437
SBS13	0.0023864378839309167	0.0011505650770575234	0.0012358728068733932	0.500529622943853
SBS14	0.00294600816170982	4.163235604916534e-4	0.0025296846012181668	0.00888667330716547
SBS15	0.007890909212693085	0.010433487216252335	-0.0025425780035592503	0.6553276608583802
SBS16	0.006094772602056695	0.005066900992646015	0.0010278716094106804	0.8389525828276262
SBS17a	0	2.3680373654589584e-4	-2.3680373654589584e-4	0.4620756629263388
SBS17b	0.003840001993275204	0.002664662355770823	0.001175339637504381	0.34318516507544605
SBS18	0.013208960322979276	0.017268609798242986	-0.004059649475263711	0.47654671662012127
SBS19	0.0010622960707204105	0.0022446013023052817	-0.001182305231584871	0.5145959372008682
SBS20	0.0017500601356046947	0.0010388344285925243	7.112257070121704e-4	0.16674187974551652
SBS21	0.0035350494402866047	0.0020489933162025605	0.0014860561240840442	0.18714206548174403
SBS22	0.0011939341088167675	7.135087814398586e-4	4.804253273769088e-4	0.2633599016321151
SBS23	3.754629230176799e-4	0.001183761248988532	-8.082983259708521e-4	0.3165918517893435
SBS24	0.002314296644285456	0.003868669261147958	-0.0015543726168625017	0.3347065903769325
SBS25	0.011613647359517821	0.011144267994798744	4.693793647190768e-4	0.6505011167311034
SBS26	0.0016530680857030744	0.0013159851341961145	3.3708295150695986e-4	0.7978643807570931
SBS27	0	0	0	NA
SBS28	0.0013744472142438143	0.0021074279671345337	-7.329807528907194e-4	0.33152039189946775
SBS29	0.0019725257670039254	0.0015395742131951034	4.3295155380882193e-4	0.721679345789249
SBS30	0.006508939408739635	0.004191811043844544	0.0023171283648950915	0.26366207384974116
SBS31	0.011558879090782506	0.009615884899014958	0.001942994191767548	0.7552266461304049
SBS32	0.0042584713988168665	0.005810155917462371	-0.0015516845186455044	0.2930203709669677
SBS33	0	0	0	NA
SBS34	0.002710985529217045	0.002020264308331477	6.907212208855681e-4	0.35530013995106524
SBS35	0.00555005304502822	0.003343368540581728	0.002206684504446492	0.10020747914630773
SBS36	0.001271099681242748	4.166927700657968e-4	8.544069111769511e-4	0.0868942973801081
SBS37	0.039871429945399404	0.04544335105362192	-0.005571921108222515	0.2584408779448556
SBS38	5.721627070039261e-4	1.6906001610050915e-4	4.0310269090341696e-4	0.3247725463077105
SBS39	0.027777309670399025	0.021723867973686223	0.006053441696712802	0.11385739821921442
SBS40	0.06680548595909103	0.06494055471017152	0.0018649312489195102	0.7531977801362117
SBS41	0.0025065448132135146	0.0024852222704878266	2.132254272568801e-5	0.7686057958726731
SBS42	0.002144378749608062	0.0014027006462934562	7.416781033146057e-4	0.607259416233344
SBS43	0.00428593468970602	0.004155732114417008	1.30202575289012e-4	0.9217233214711279
SBS44	0.004397670012719237	0.0035191201019966222	8.785499107226151e-4	0.31971979488066515
SBS45	0	0	0	NA
SBS46	0.008598524983753008	0.008349056027468276	2.494689562847312e-4	0.9686987854375032
SBS47	0.017232614219039714	0.0190672197191444	-0.0018346055001046864	0.7866742908378529
SBS48	0	0	0	NA
SBS49	0	0	0	NA
SBS50	0.002554318680681279	0.0016944440164738308	8.598746642074482e-4	0.3327137036837174
SBS51	0.011467836614576912	0.01418809697810883	-0.0027202603635319185	0.7014965791134271
SBS52	0	1.2996266757786014e-4	-1.2996266757786014e-4	0.6042743058240627
SBS53	3.746176465744818e-4	1.5079968144555698e-4	2.238179651289248e-4	0.3247725463077105
SBS54	0	0.0024864158066193152	-0.0024864158066193152	0.021692866889955826
SBS55	0.005345882345254487	0.014444872041604101	-0.009098989696349615	0.0069106348325640365
SBS56	0	0	0	NA
SBS57	0.00076744998822344515	0.0013886810042649624	-6.212310160415173e-4	0.5095487777227887
SBS58	0.01946621655685071	0.01685737378026643	0.0026088427765842796	0.4446519464902811
SBS59	3.3983780792278814e-4	0	3.3983780792278814e-4	0.05538690563723888
SBS60	0	0	0	NA
SBS84	0.0013078230143099571	0.0021469114164882883	-8.390884021783312e-4	0.4810583220866278
SBS85	0.003886451183597127	0.00511415347008498	-0.0012277022864878532	0.8140735597478055
SBS86	0.0033569400541977002	0.001278934593575686	0.0020780054606220144	0.06455650165989772
SBS87	0.007275100413957839	0.0078031133640287876	-5.280129500709486e-4	0.42719909501366815
SBS88	3.887963095653848e-4	3.1750708316641963e-4	7.128922639896516e-5	0.8587813016815384
SBS89	0.012803722898212825	0.0176694135820121	-0.004865690683799275	0.2121706690108248
SBS90	0.008529316516185874	0.002936937553987603	0.005592378962198271	0.11789910798498125
SBS91	0	0	0	NA
SBS92	0.0036310771895345243	0.004728548937777396	-0.0010974717482428713	0.6912363635996984
SBS93	0.0014274273636456505	8.069196554565366e-4	6.205077081891139e-4	0.2283541278402839
SBS94	7.617280707144713e-4	5.177919968350345e-4	2.439360738794368e-4	0.1636865400723683
SBS95	0.0011435637541552307	0.002179398256211042	-0.0010358345020558112	0.6902680907202103
