Gene	Gene name
ABCB11	ATP binding cassette, subfamily B, member 11
AIP	aryl hydrocarbon receptor interacting protein
AKT1	AKT SERINE/THREONINE KINASE 1
ALK	Anaplastic lymphoma kinase
APC	APC, WNT signaling pathway regulator
ARID5B	AT-rich interaction containing domain 5B
ASXL1	ASXL transcriptional regulator 1
ATM	ATM serine/threonine kinase
ATRX	ATRX Chromatin Remodeler
AXIN2	Axis inhibitor 2
BAP1	BRCA1 associated protein 1
BARD1	BRCA1 associated ring domain 1
BLM	Bloom RecQ like helicase
BMPR1A	Bone morphogenetic protein receptor type 1A
BRAF	B-Raf proto-oncogene, serine/threonine kinase
BRCA1	BRCA1, DNA repair associated
BRCA2	BRCA2, DNA repair associated
BRIP1	BRCA1 interacting protein C-terminal helicase 1
BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B
CASR	CALCIUM-SENSING RECEPTOR
CBL	Cbl proto-oncogene
CDC73	Cell division cycle 73
CDH1	Cadherin 1
CDK4	Cyclin dependent kinase 4
CDKN1B	Cyclin dependent kinase inhibitor 1B
CDKN1C	Cyclin dependent kinase inhibitor 1C
CDKN2A	Cyclin dependent kinase inhibitor 2A
CEBPA	CCAAT enhancer binding protein alpha
CEBPE	CCAAT enhancer binding protein epsilon
CHEK2	Checkpoint kinase 2
COL7A1	Collagen type VII alpha 1 chain
CREBBP	CREB binding protein
CTNNA1	CATENIN, ALPHA-1
CYLD	CYLD lysine 63 deubiquitinase
DDB2	Damage specific DNA binding protein 2
DDX41	DEAD-box helicase 41
DICER1	Dicer 1, ribonuclease III
DIS3L2	DIS3 like 3'-5' exoribonuclease 2
DKC1	Dyskerin pseudouridine synthase 1
DOCK8	Dedicator of cytokinesis 8
EDNRB	Endothelin receptor type B
EGFR	Epidermal growth factor receptor
EGLN1	EGL9 FAMILY HYPOXIA-INDUCIBLE FACTOR 1
ELANE	Elastase, neutrophil expressed
ELP1	Elongator Acetyltransferase Complex Subunit 1
EP300	E1A binding protein p300
EPCAM	Epithelial cell adhesion molecule
ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit
ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit
ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit
ERCC4	ERCC excision repair 4, endonuclease catalytic subunit
ERCC5	ERCC excision repair 5, endonuclease
ETV6	ETS variant 6
EXT1	Exostosin glycosyltransferase 1
EXT2	Exostosin glycosyltransferase 2
