plot_group	pearson_r	pearson_p
Low-grade glioma	0.11731608129702573	0.08763642560689983
Germ cell tumor	-0.5331773939524584	0.09123528363861023
Ependymoma	0.09266573603475803	0.45576742809210924
ATRT	0.20398591671884703	0.33903204017298083
Craniopharyngioma	-0.2034033979927527	0.2272547277795787
Other high-grade glioma	-0.511281607060232	4.586505321356501e-4
Mixed neuronal-glial tumor	-0.16167979804928903	0.1779679562764168
Medulloblastoma	-0.021454644691651804	0.8391386025302563
DIPG or DMG	-0.21533870947280093	0.30124729172160647
Other tumor	-0.16336328534438668	0.46758330169186635
Neurofibroma plexiform	-0.28223636691238635	0.37411250895935355
Meningioma	-0.15336171461870607	0.49562493357172055
Non-neoplastic tumor	-0.34066231959872706	0.10332237280049296
Schwannoma	0.16457553333224711	0.6092642549520575
Other CNS embryonal tumor	-0.5811560358964248	0.10076138496969549
Choroid plexus tumor	-0.24873128363608213	0.3529226867726649
Mesenchymal tumor	-0.021925248430071008	0.9311861059706243
