group	group_n	type	median_surv_years_plp	median_surv_years_no_plp	km_p	HR	p	CI_lower	CI_upper	group_plus_n
ATRT, MYC	8	Overall survival	0.5448323066392882	NA	0.021604681565160377	NA	NA	NA	NA	ATRT, MYC (N=8)
ATRT, SHH	8	Overall survival	4.328542094455853	0.9911019849418207	0.26089821174043204	NA	NA	NA	NA	ATRT, SHH (N=8)
Atypical Teratoid Rhabdoid Tumor	26	Overall survival	1.107460643394935	1.841204654346338	0.2832929022713474	11.673492165089806	0.1914535072338116	0.29239440425125757	466.05002471700686	Atypical Teratoid Rhabdoid Tumor (N=26)
CRANIO, ADAM	22	Overall survival	NA	NA	0.6650055421020291	NA	NA	NA	NA	CRANIO, ADAM (N=22)
DIPG or DMG	28	Overall survival	0.8268309377138946	1.0225872689938398	0.5097630935598889	28.575753582783	0.00791885293561679	2.406374113983803	339.3377979253944	DIPG or DMG (N=28)
DMG, H3 K28	11	Overall survival	0.16700889801505817	1.6071184120465434	0.0015654022580025018	NA	NA	NA	NA	DMG, H3 K28 (N=11)
DMG, H3 K28, TP53	17	Overall survival	0.9062286105407256	0.7802874743326489	0.2821147622546262	0.38574370389950435	0.22620601633836557	0.0824686428833103	1.804300397044872	DMG, H3 K28, TP53 (N=17)
EPN, PF A	20	Overall survival	NA	NA	0.5307456197586726	NA	NA	NA	NA	EPN, PF A (N=20)
EPN, ST ZFTA	17	Overall survival	NA	NA	0.4361497727373602	NA	NA	NA	NA	EPN, ST ZFTA (N=17)
Ependymoma	58	Overall survival	NA	NA	0.27003809503654663	NA	NA	NA	NA	Ependymoma (N=58)
GNG/GNT, BRAF V600E	12	Overall survival	NA	NA	1	NA	NA	NA	NA	GNG/GNT, BRAF V600E (N=12)
GNG/GNT, Other alteration	31	Overall survival	NA	NA	1	NA	NA	NA	NA	GNG/GNT, Other alteration (N=31)
HGG, H3 wildtype	17	Overall survival	0.9856262833675564	4.128678986995209	0.8916609830427706	1.4276289441083743	0.6879286512442209	0.2512808884642198	8.110940766377476	HGG, H3 wildtype (N=17)
HGG, H3 wildtype, TP53	14	Overall survival	1.5742642026009583	1.1553730321697468	0.43466662539521495	0.0028720382035802602	0.09739710514777547	2.8362023002768535e-6	2.9083268996782587	HGG, H3 wildtype, TP53 (N=14)
High-grade glioma	39	Overall survival	2.3408624229979464	3.4223134839151266	0.34310229309590057	1.2776260895114235	0.7748099096585407	0.23847535157049754	6.844851737718088	High-grade glioma (N=39)
LGG, BRAF V600E	24	Overall survival	NA	NA	1	NA	NA	NA	NA	LGG, BRAF V600E (N=24)
LGG, BRAF fusion	87	Overall survival	NA	20.281998631074607	0.7815112949987133	NA	NA	NA	NA	LGG, BRAF fusion (N=87)
LGG, Other alteration	44	Overall survival	NA	NA	0.22107848342521996	NA	NA	NA	NA	LGG, Other alteration (N=44)
LGG, WT	13	Overall survival	NA	NA	1	NA	NA	NA	NA	LGG, WT (N=13)
Low-grade glioma	177	Overall survival	NA	20.281998631074607	0.7304870311845679	0.6732628552291765	0.763670597071921	0.051069072088633295	8.875878368117686	Low-grade glioma (N=177)
MB, Group3	19	Overall survival	10.573579739904176	1.5879534565366187	0.013064645789154561	NA	NA	NA	NA	MB, Group3 (N=19)
MB, Group4	39	Overall survival	NA	NA	0.13193546766945174	NA	NA	NA	NA	MB, Group4 (N=39)
MB, SHH	16	Overall survival	NA	4.128678986995209	0.07324368420502847	0.2230936064979416	0.10328937457132592	0.03669949626386832	1.3561700384770436	MB, SHH (N=16)
Medulloblastoma	83	Overall survival	10.573579739904176	9.097878165639973	0.02411236271218209	0.06492565175730289	0.0031445248884987985	0.010574481618484503	0.39863327661774284	Medulloblastoma (N=83)
Meningioma	22	Overall survival	18.414784394250514	NA	0.31731050786291404	NA	NA	NA	NA	Meningioma (N=22)
Mixed neuronal-glial tumor	57	Overall survival	NA	NA	1	NA	NA	NA	NA	Mixed neuronal-glial tumor (N=57)
ATRT, MYC	8	Event-free survival	0.32306639288158795	1.5605749486652978	0.33822673848300333	2.6797196555663985	0.4246052594521519	0.23837630959519523	30.124207580121197	ATRT, MYC (N=8)
ATRT, SHH	8	Event-free survival	0.8213552361396304	0.4736481861738535	0.8305484410158115	0.509508982327891	0.602728319433811	0.04021425796242091	6.455407017963416	ATRT, SHH (N=8)
Atypical Teratoid Rhabdoid Tumor	26	Event-free survival	0.42984257357973993	0.7241615331964408	0.4355932317820165	8.277756864439121	0.2548749704800434	0.21768031018765585	314.77931397515397	Atypical Teratoid Rhabdoid Tumor (N=26)
CRANIO, ADAM	22	Event-free survival	NA	4.829568788501026	0.12299438389910211	NA	NA	NA	NA	CRANIO, ADAM (N=22)
DIPG or DMG	28	Event-free survival	0.2778918548939083	0.6201232032854209	0.1335809761236959	16.30471710495505	0.019528692170766342	1.5661688648436147	169.7414664791966	DIPG or DMG (N=28)
DMG, H3 K28	11	Event-free survival	0.16700889801505817	1.08145106091718	0.0015654022580025018	NA	NA	NA	NA	DMG, H3 K28 (N=11)
DMG, H3 K28, TP53	17	Event-free survival	0.30390143737166325	0.44490075290896647	0.8645939107527187	1.0039779326233744	0.9952529767520496	0.27147532669594043	3.7129403303883306	DMG, H3 K28, TP53 (N=17)
EPN, PF A	20	Event-free survival	NA	2.5270362765229293	0.2710278576084192	NA	NA	NA	NA	EPN, PF A (N=20)
EPN, ST ZFTA	17	Event-free survival	NA	1.7221081451060918	0.10978255910686163	NA	NA	NA	NA	EPN, ST ZFTA (N=17)
