Hugo_Symbol	mean_zscore_plp	mean_zscore_no_plp	pvalue
ATM	0.21873634975108847	0.023334714513487693	0.25946788169269513
CHEK2	-0.35748981642347066	-0.04003106979017653	0.5295442457151034
COL7A1	-0.2211976974463773	-0.04249218676534314	0.4537664937081116
ERCC2	-0.3438085827682432	-0.008369170638547122	0.2983455857118988
FAH	-0.08361654486824192	0.0017810153250163471	0.7618257671983132
FANCA	0.6473501977921329	-0.018853731351518695	0.25286839640741976
GJB2	-0.4268257145891028	0.001656450349569637	0.08881549694674512
MUTYH	-0.1785719766094936	0.009853268919928571	0.8643394884880112
NF1	-1.0629979005914145	0.07912051142776323	1.5196020898525489e-5
NF2	-1.9573365424223086	0.03203047898097634	0.0023010824030671156
PMS2	0.2087459949999894	0.030093260375991165	0.42765389270356813
RAD50	-0.7701274233676101	0.037441146538718766	0.07379745576167315
RAD51D	-0.08640998686035742	0.018143478307452048	0.9120040588323971
RECQL4	-0.35725641512751233	-0.040502485435085764	0.4443783302102034
RMRP	0.1688519465872842	-0.0036453663765814836	0.9102693462152399
TP53	0.1501092339312061	-0.024833542936851312	0.6105361331043047
TSC1	-1.327775966138241	0.04873049396911974	0.003643771676670351
TSC2	-1.7810287987176412	0.03325317876433431	4.6259818886418404e-5
