Hugo_Symbol	Kids_First_Biospecimen_ID_rna	expr_zscore
PRSS1	BS_YMAJC22S	-0.19051178210370137
CTNNA1	BS_YMAJC22S	-1.2671795623622646
SDHA	BS_YMAJC22S	-0.262827265983256
FH	BS_YMAJC22S	-0.5561634822393453
BAP1	BS_YMAJC22S	0.8674811164356074
GJB2	BS_YMAJC22S	-0.39808409653781773
AKT1	BS_YMAJC22S	0.010533129221312224
PTPN11	BS_YMAJC22S	0.03411704154952243
SMARCB1	BS_YMAJC22S	-0.7519337560129932
PIK3R1	BS_YMAJC22S	0.6887512025043919
DDX41	BS_YMAJC22S	0.170870406512741
TSC2	BS_YMAJC22S	0.3623482125239547
ERCC3	BS_YMAJC22S	0.19479019671241063
EPCAM	BS_YMAJC22S	-0.2854493300098426
LZTR1	BS_YMAJC22S	-0.9693045125559892
XPC	BS_YMAJC22S	-1.1274884820978024
ASXL1	BS_YMAJC22S	-0.19540649742087787
EXT2	BS_YMAJC22S	-0.6851636457635217
PTEN	BS_YMAJC22S	0.007261403130911835
KDM6B	BS_YMAJC22S	-0.37315401481486554
COL7A1	BS_YMAJC22S	-0.19763968893177686
SMARCE1	BS_YMAJC22S	-0.8993623705876745
CREBBP	BS_YMAJC22S	0.04120529361586684
WAS	BS_YMAJC22S	-0.9096198883792255
EDNRB	BS_YMAJC22S	0.16237800391939267
GAB2	BS_YMAJC22S	-0.15727908196760373
TSC1	BS_YMAJC22S	0.3858597835666934
GBA	BS_YMAJC22S	-1.0466702969035717
NBN	BS_YMAJC22S	-0.013678357343727814
SOS1	BS_YMAJC22S	-0.09533199023271981
PRF1	BS_YMAJC22S	-0.7710202907029875
TP53	BS_YMAJC22S	-1.9658980565422715
SOS2	BS_YMAJC22S	0.07873748599210166
VHL	BS_YMAJC22S	0.2599588486094127
KMT2C	BS_YMAJC22S	0.021723350035343834
POLE	BS_YMAJC22S	0.6941982112049464
FAH	BS_YMAJC22S	-1.0893233797100277
MUTYH	BS_YMAJC22S	-0.004914630564073019
RAD50	BS_YMAJC22S	0.25647867034976785
NF2	BS_YMAJC22S	0.05823970329455742
NTHL1	BS_YMAJC22S	-0.1667249005133536
HMBS	BS_YMAJC22S	-0.886542157814641
BRAF	BS_YMAJC22S	0.36091332662570436
DDX11	BS_YMAJC22S	0.014583155570889576
ERCC2	BS_YMAJC22S	0.2241152005545009
PIK3C2B	BS_YMAJC22S	0.6483437817019868
FANCG	BS_YMAJC22S	0.2662106424561289
MSH6	BS_YMAJC22S	-0.4952378193417057
MN1	BS_YMAJC22S	0.13758704480741507
APC	BS_YMAJC22S	0.9714744642265943
MSH2	BS_YMAJC22S	0.11703167669504924
PTCH2	BS_YMAJC22S	-0.18207223831520214
SUFU	BS_YMAJC22S	-0.48640322157107563
NF1	BS_YMAJC22S	0.2714046184954083
PPM1D	BS_YMAJC22S	-0.6826934306009931
PMS2	BS_YMAJC22S	-0.27020603850773467
RECQL4	BS_YMAJC22S	0.2866168679374759
POLH	BS_YMAJC22S	-0.8118167058037525
LYST	BS_YMAJC22S	-0.4648335371135475
ATM	BS_YMAJC22S	-0.18559998201881386
WRN	BS_YMAJC22S	0.40160606218546047
PTCH1	BS_YMAJC22S	0.6188249926967505
EPHA7	BS_YMAJC22S	-0.4606081458303346
EZH2	BS_YMAJC22S	-0.16608977771701333
MSH3	BS_YMAJC22S	-0.39936117877291055
FANCI	BS_YMAJC22S	0.4270689721855459
SLX4	BS_YMAJC22S	0.5222558176094293
DYNC2H1	BS_YMAJC22S	-0.2798740426443443
CHEK2	BS_YMAJC22S	-1.057651560494942
TDRD9	BS_YMAJC22S	-0.3713839415161541
BUB1B	BS_YMAJC22S	0.17104000564396105
FANCC	BS_YMAJC22S	-0.2616466445057379
RAD51D	BS_YMAJC22S	0.2234965391697322
ERCC4	BS_YMAJC22S	-0.8773282509065045
FANCD2	BS_YMAJC22S	0.05796429518032992
FANCA	BS_YMAJC22S	0.4298378566409427
BRCA1	BS_YMAJC22S	-0.44266030967983333
ERBB4	BS_YMAJC22S	1.0320294105136834
FANCM	BS_YMAJC22S	0.9058719729282607
CDKN2A	BS_YMAJC22S	-0.4775967705636905
BLM	BS_YMAJC22S	1.0281631466605161
PIK3C2G	BS_YMAJC22S	-0.12206025701227009
ROS1	BS_YMAJC22S	0.16251890555323262
SLCO1B3	BS_YMAJC22S	0.3052417074800537
BRIP1	BS_YMAJC22S	-0.2176823046139928
BRCA2	BS_YMAJC22S	0.08477502807088677
ABCB11	BS_YMAJC22S	-0.24233806986356254
MPL	BS_YMAJC22S	0.16788737448383106
TERT	BS_YMAJC22S	-0.3209409614595495
RMRP	BS_YMAJC22S	0.05922768560811495
PRSS1	BS_5PJCHF6V	-0.19051178210370137
CTNNA1	BS_5PJCHF6V	-2.0031660314041964
SDHA	BS_5PJCHF6V	-0.3007435659707794
FH	BS_5PJCHF6V	0.8027606796933331
BAP1	BS_5PJCHF6V	-0.13234389881309844
GJB2	BS_5PJCHF6V	-0.5319500958227497
AKT1	BS_5PJCHF6V	-0.7346168782315394
PTPN11	BS_5PJCHF6V	0.29688418198170285
SMARCB1	BS_5PJCHF6V	1.0938770517672773
PIK3R1	BS_5PJCHF6V	-0.39427912155557365
DDX41	BS_5PJCHF6V	-0.10236057450381557
TSC2	BS_5PJCHF6V	0.44889511002524496
ERCC3	BS_5PJCHF6V	0.40260243352137454
EPCAM	BS_5PJCHF6V	-0.18806724616245754
LZTR1	BS_5PJCHF6V	-0.4688027096380457
XPC	BS_5PJCHF6V	-0.27451511594556804
ASXL1	BS_5PJCHF6V	0.5352722379192999
EXT2	BS_5PJCHF6V	-1.7680450828400383
PTEN	BS_5PJCHF6V	0.8706987364811908
KDM6B	BS_5PJCHF6V	-0.21643611340274943
COL7A1	BS_5PJCHF6V	-0.6612239861396008
SMARCE1	BS_5PJCHF6V	0.44078168499935694
CREBBP	BS_5PJCHF6V	1.1301555013471547
WAS	BS_5PJCHF6V	-1.2166765046306758
EDNRB	BS_5PJCHF6V	-1.3382978453242278
GAB2	BS_5PJCHF6V	0.048285875948691825
TSC1	BS_5PJCHF6V	2.452600237533986
GBA	BS_5PJCHF6V	-1.3779017928890802
NBN	BS_5PJCHF6V	0.07385599453727797
SOS1	BS_5PJCHF6V	0.6062721883485354
PRF1	BS_5PJCHF6V	-0.7484336489831238
TP53	BS_5PJCHF6V	-1.2235397417508707
SOS2	BS_5PJCHF6V	0.6005013105766313
VHL	BS_5PJCHF6V	1.2537214523257714
KMT2C	BS_5PJCHF6V	0.38226175461585116
POLE	BS_5PJCHF6V	1.1950276056853613
FAH	BS_5PJCHF6V	-0.8563629758903887
MUTYH	BS_5PJCHF6V	0.8889182602284602
RAD50	BS_5PJCHF6V	-0.4228897519825194
NF2	BS_5PJCHF6V	0.31614139921389023
NTHL1	BS_5PJCHF6V	-1.215759038157892
HMBS	BS_5PJCHF6V	-1.2528690616531941
