Chromosome	Location	Probe_ID	Gene_Feature	Start	End	Strand	transcript_id	targetFromSourceId	Gene_symbol	canonical
chr1	10209770	cg12425768	promoter	10209569	10210569	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10209770	cg12425768	promoter	10209569	10210569	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10209958	cg11846543	promoter	10209569	10210569	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10209958	cg11846543	promoter	10209569	10210569	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10209958	cg11846543	promoter	10209804	10210804	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10210381	cg08926982	promoter	10209569	10210569	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10210381	cg08926982	promoter	10209569	10210569	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10210381	cg08926982	promoter	10209804	10210804	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10210457	cg19306864	promoter	10209569	10210569	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10210457	cg19306864	promoter	10209569	10210569	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10210457	cg19306864	promoter	10209804	10210804	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10210583	cg21142984	promoter	10209804	10210804	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10210583	cg21142984	exon	10210570	10210878	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10210583	cg21142984	five_prime_UTR	10210570	10210878	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10210583	cg21142984	exon	10210570	10210878	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10210583	cg21142984	five_prime_UTR	10210570	10210878	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10210596	cg24722365	promoter	10209804	10210804	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10210596	cg24722365	exon	10210570	10210878	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10210596	cg24722365	five_prime_UTR	10210570	10210878	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10210596	cg24722365	exon	10210570	10210878	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10210596	cg24722365	five_prime_UTR	10210570	10210878	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10210600	cg22822919	promoter	10209804	10210804	+	ENST00000263934	ENSG00000054523	KIF1B	No
chr1	10210600	cg22822919	exon	10210570	10210878	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10210600	cg22822919	five_prime_UTR	10210570	10210878	+	ENST00000377093	ENSG00000054523	KIF1B	No
chr1	10210600	cg22822919	exon	10210570	10210878	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10210600	cg22822919	five_prime_UTR	10210570	10210878	+	ENST00000676179	ENSG00000054523	KIF1B	Yes
chr1	10210654	cg15208524	promoter	10209804	10210804	+	ENST00000263934	ENSG00000054523	KIF1B	No
