splicing_case	Hugo_Symbol	chr	strand	region_start	region_end	rank
RI	TSC2	chr16	+	2060669	2062008	intron 11
SE	TSC2	chr16	+	2060669	2060813	exon 11
A3SS	TSC2	chr16	+	2062496	2062600	exon 13
RI	TSC2	chr16	+	2078919	2079428	intron 26-27
SE	TSC2	chr16	+	2079031	2079196	exon 27
SE	TSC2	chr16	+	2082435	2082504	exon 32
SE	SLX4	chr16	-	3592698	3592865	exon 11
SE	LZTR1	chr22	+	20987503	20987583	exon 4
RI	LZTR1	chr22	+	20994103	20994727	intron 14
SE	NF2	chr22	+	29639089	29639212	exon 3
SE	NF1	chr17	+	31169890	31169997	exon 5
SE	NF1	chr17	+	31252937	31253000	exon 31
SE	NF1	chr17	+	31338703	31338805	exon 46
SE	NF1	chr17	+	31343008	31343135	exon 48
A3SS	RAD51D	chr17	-	35106987	35107122	exon 5
RI	SMARCE1	chr17	-	40630713	40632367	intron 8-9
SE	FANCM	chr14	+	45198731	45198935	exon 22
RI	MUTYH	chr1	-	45332762	45333324	intron 4-6
SE	ERCC2	chr19	-	45364837	45364954	exon 7
SE	MSH6	chr2	+	47804909	47805027	exon 6
SE	BAP1	chr3	-	52405109	52405294	exon 11
SE	FAH	chr15	+	80180123	80180225	exon 12
SE	FAH	chr15	+	80180123	80180225	exon 12
SE	MSH3	chr5	+	80778719	80778836	exon 17
SE	FANCC	chr9	-	95135345	95135502	exon 8
SE	PTCH1	chr9	-	95506406	95506599	exon 2
SE	ATM	chr11	+	108282709	108282879	exon 25
SE	ATM	chr11	+	108315822	108315911	exon 41
SE	RECQL4	chr8	-	144512391	144512561	exon 17
SE	GBA	chr1	-	155240629	155240717	exon 2
SE	GBA	chr1	-	155240629	155240717	exon 2
